author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312926912/;Москва;rent;flat;15;20;3;95.0;450000;0;Пресненский;Мантулинская ;9к5;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313353050/;Москва;rent;flat;35;57;4;209.0;700000;0;Хорошевский;Чапаевский переулок;3;Аэропорт
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313040905/;Москва;rent;flat;9;17;1;19.6;36000;0;Крюково;проспект Георгиевский;33к2;Зеленоград — Крюково
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311485868/;Москва;rent;flat;1;5;-1;400.0;875000;0;Крылатское;Осенняя ;25К3;Крылатское
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312480868/;Москва;rent;flat;3;8;5;220.0;750000;0;Хамовники;1-й Зачатьевский переулок;5;Кропоткинская
Холдинг Профи;real_estate_agent;https://www.cian.ru/rent/flat/312999949/;Москва;rent;flat;2;29;1;29.0;27500;0;Хорошево-Мневники;Шелепихинская набережная;34к4;Шелепиха
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/313546128/;Москва;rent;flat;10;10;-1;430.2;4600000;0;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313642118/;Москва;rent;flat;10;10;-1;433.0;4600000;0;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313947148/;Москва;rent;flat;9;26;1;39.0;55000;0;Митино;Муравская ;38к1;Пятницкое шоссе
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/309899930/;Москва;rent;flat;4;6;4;208.0;1500000;0;Хамовники;переулок Коробейников;1;Парк Культуры
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311211104/;Москва;rent;flat;4;6;4;208.0;1500000;0;Хамовники;переулок Коробейников;1;Парк Культуры
Life Style;real_estate_agent;https://www.cian.ru/rent/flat/313716252/;Москва;rent;flat;3;9;1;32.8;70000;0;Преображенское;Большая Черкизовская ;24К1;Черкизовская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313600485/;Москва;rent;flat;27;28;2;66.0;237400;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312588324/;Москва;rent;flat;7;10;3;124.0;1500000;0;Мещанский;Звонарский переулок;3;Трубная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313091448/;Москва;rent;flat;5;14;1;19.0;44900;0;; Усадебный Парк;7к1;Толстопальцево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311350671/;Москва;rent;flat;2;5;1;33.0;88400;0;Хорошевский;Хорошевское шоссе;38С5;Беговая
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/314032323/;Москва;rent;flat;6;13;1;35.0;110000;0;Хорошевский;Ходынский бульвар;2;ЦСКА
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313646774/;Москва;rent;flat;7;9;1;20.0;55000;0;; Александры Монаховой;85к3;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311441391/;Москва;rent;flat;4;27;1;27.0;95000;0;Хорошевский; Зорге;9к2;Полежаевская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313739426/;Москва;rent;flat;4;14;2;53.0;77000;0;Аэропорт;Большой Коптевский проезд;8;Красный Балтиец
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311297058/;Москва;rent;flat;11;14;2;39.0;47500;0;;шоссе Остафьевское;14к3;Щербинка
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311414970/;Москва;rent;flat;15;17;3;70.4;104600;0;Левобережный;Беломорская ;11к2;Беломорская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312094338/;Москва;rent;flat;26;36;3;92.0;500000;0;Беговой;Ленинградский проспект;34А;Динамо
ID 102118217;homeowner;https://www.cian.ru/rent/flat/313955221/;Москва;rent;flat;5;6;1;30.0;85000;0;Войковский;2-й Войковский проезд;2/11;Войковская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313545274/;Москва;rent;flat;7;12;3;86.7;145600;0;Чертаново Южное;Варшавское шоссе;141к11;Аннино
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313436359/;Москва;rent;flat;2;24;2;64.0;130800;0;Даниловский;Автозаводская ;23Бк2;ЗИЛ
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313900202/;Москва;rent;flat;15;16;2;34.0;45000;0;Выхино-Жулебино;Самаркандский бульвар;11К1;Юго-Восточная
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/312260428/;Москва;rent;flat;15;21;3;85.0;450000;0;Пресненский;Мантулинская ;9к5;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302464439/;Москва;rent;flat;3;11;4;221.0;793508;0;Хамовники; Усачева;2С3;Фрунзенская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312517176/;Москва;rent;flat;15;21;3;85.0;450000;0;Пресненский;Мантулинская ;9к5;Москва-Сити
ОРИОН;real_estate_agent;https://www.cian.ru/rent/flat/303657824/;Москва;rent;flat;40;75;2;106.2;330000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313976187/;Москва;rent;flat;2;7;3;180.0;1100000;0;Хамовники;1-й Зачатьевский переулок;8с1;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313643155/;Москва;rent;flat;2;7;3;179.0;1100000;0;Хамовники;1-й Зачатьевский переулок;8с1;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309831978/;Москва;rent;flat;1;8;3;167.0;1350000;0;Хамовники; Льва Толстого;23к1;Парк Культуры
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/313676678/;Москва;rent;flat;2;7;3;180.0;1100000;0;Хамовники;1-й Зачатьевский переулок;8с1;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309806642/;Москва;rent;flat;1;8;3;168.0;1350000;0;Хамовники; Льва Толстого;23к1;Парк Культуры
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313647563/;Москва;rent;flat;2;7;3;180.0;1100000;0;Хамовники;1-й Зачатьевский переулок;8с1;Кропоткинская
