author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
real_estate_agent,15,20,3,95.0,450000,Пресненский,Мантулинская ,Москва-Сити
real_estate_agent,35,57,4,209.0,700000,Хорошевский,Чапаевский переулок,Аэропорт
real_estate_agent,9,17,1,19.6,36000,Крюково,проспект Георгиевский,Зеленоград — Крюково
real_estate_agent,3,8,5,220.0,750000,Хамовники,1-й Зачатьевский переулок,Кропоткинская
real_estate_agent,2,29,1,29.0,27500,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,9,26,1,39.0,55000,Митино,Муравская ,Пятницкое шоссе
real_estate_agent,4,6,4,208.0,1500000,Хамовники,переулок Коробейников,Парк Культуры
real_estate_agent,4,6,4,208.0,1500000,Хамовники,переулок Коробейников,Парк Культуры
real_estate_agent,3,9,1,32.8,70000,Преображенское,Большая Черкизовская ,Черкизовская
real_estate_agent,27,28,2,66.0,237400,Филевский парк, Василисы Кожиной,Парк Победы
real_estate_agent,7,10,3,124.0,1500000,Мещанский,Звонарский переулок,Трубная
real_estate_agent,5,14,1,19.0,44900,, Усадебный Парк,Толстопальцево
real_estate_agent,2,5,1,33.0,88400,Хорошевский,Хорошевское шоссе,Беговая
real_estate_agent,6,13,1,35.0,110000,Хорошевский,Ходынский бульвар,ЦСКА
real_estate_agent,7,9,1,20.0,55000,, Александры Монаховой,Потапово
real_estate_agent,4,27,1,27.0,95000,Хорошевский, Зорге,Полежаевская
real_estate_agent,4,14,2,53.0,77000,Аэропорт,Большой Коптевский проезд,Красный Балтиец
real_estate_agent,11,14,2,39.0,47500,,шоссе Остафьевское,Щербинка
real_estate_agent,15,17,3,70.4,104600,Левобережный,Беломорская ,Беломорская
real_estate_agent,26,36,3,92.0,500000,Беговой,Ленинградский проспект,Динамо
homeowner,5,6,1,30.0,85000,Войковский,2-й Войковский проезд,Войковская
real_estate_agent,7,12,3,86.7,145600,Чертаново Южное,Варшавское шоссе,Аннино
real_estate_agent,2,24,2,64.0,130800,Даниловский,Автозаводская ,ЗИЛ
real_estate_agent,15,16,2,34.0,45000,Выхино-Жулебино,Самаркандский бульвар,Юго-Восточная
real_estate_agent,15,21,3,85.0,450000,Пресненский,Мантулинская ,Москва-Сити
real_estate_agent,3,11,4,221.0,793508,Хамовники, Усачева,Фрунзенская
real_estate_agent,15,21,3,85.0,450000,Пресненский,Мантулинская ,Москва-Сити
real_estate_agent,40,75,2,106.2,330000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,2,7,3,180.0,1100000,Хамовники,1-й Зачатьевский переулок,Кропоткинская
real_estate_agent,2,7,3,179.0,1100000,Хамовники,1-й Зачатьевский переулок,Кропоткинская
real_estate_agent,1,8,3,167.0,1350000,Хамовники, Льва Толстого,Парк Культуры
